Partner Name,Country
A1 HR,Croatia
A1 Telekom Austria AG,Austria
A1 Telekom Austria AG 2,Austria
Advanced Wireless Network Company Limited,Thailand
Aircel  Kolkata IND09,India
Aircel  West Bengal IND03,India
Aircel Andhra Pradesh IND23,India
Aircel Assam IND06,India
Aircel Bihar IND04,India
Aircel Chennai,India
Aircel Chennai INDRC,India
Aircel Delhi IND19,India
Aircel Gujurat IND28,India
Aircel Harayana IND29,India
Aircel Himachal Pradesh IND02,India
Aircel Jammu & Kashmir IND01,India
Aircel Karnataka IND22,India
Aircel Limited(Delhi),India
Aircel Madhya Pradesh IND27,India
Aircel Maharasta and Goa IND24,India
Aircel Mumbai IND21,India
Aircel North East IND08,India
Aircel Orissa IND05,India
Aircel Punjab IND25,India
Aircel Rajasthan IND26,India
Aircel Tamil Nadu INDAC,India
Aircel UP East IND17,India
Aircel UP West IND18,India
Aircel kerala IND20,India
"BSNL, India",India
"Banglalink, Bangladesh",Bangladesh
Belgacom Mobile Belgium,Belgium
Bell Mobility,Canada
Bharti Airtel(Assam),India
Bharti Airtel(Bihar),India
Bharti Airtel(Jammu & Kashmir),India
Bharti Airtel(North East),India
Bharti Airtel(Orissa),India
Bharti Airtel(UP East),India
Bharti Airtel(West Bengal),India
"Bharti Airtel, India (Andhra Pradesh)",India
"Bharti Airtel, India (Chennai)",India
"Bharti Airtel, India (DELHI)",India
"Bharti Airtel, India (Gujarat)",India
"Bharti Airtel, India (HARYANA)",India
"Bharti Airtel, India (Himachal Pradesh)",India
"Bharti Airtel, India (Karnataka)",India
"Bharti Airtel, India (Kerala)",India
"Bharti Airtel, India (Kolkata)",India
"Bharti Airtel, India (MADHYA PARDESH)",India
"Bharti Airtel, India (Maharashtra & Goa)",India
"Bharti Airtel, India (Mumbai)",India
"Bharti Airtel, India (Punjab)",India
"Bharti Airtel, India (Rajasthan)",India
"Bharti Airtel, India (TAMILNADU)",India
"Bharti Airtel, India (UTTAR PARDESH WEST)",India
CTM Macau,Macau
Celcom Axiata Berhad,Malaysia
Celcom Malaysia Sdn Bhd,Malaysia
Cellcom Israel Ltd.,Israel
China Mobile,China
