Year,MonthNum,Revenue,SubCount,Duration,VolumeGB,ds
2012,1,1237.0722,8088.0,12764.033333333336,1.259970691986382,2012-01-01
2012,2,1861.6007,8615.0,14247.083333333334,2.027583540417255,2012-02-01
2012,4,0.0,18640.0,28098.88333327367,5.1645553354375044,2012-04-01
2012,5,1576.3997,21567.0,26456.816666672334,2.5707590104996467,2012-05-01
2012,6,0.0,14301.0,19002.91666666667,2.2070701997727156,2012-06-01
2012,7,1327.6249,10454.0,12221.55,2.639845008030534,2012-07-01
2012,8,2033.451,13152.0,18399.76666666667,2.959558391943575,2012-08-01
2012,9,0.0,15338.0,17202.5,4.652017564512792,2012-09-01
2012,10,6561.5339,24744.0,33310.4,6.726346658542753,2012-10-01
2012,11,0.0,22553.0,23965.68333333333,5.755897011607886,2012-11-01
2012,12,2696.3921,14561.0,13512.116666666669,2.417979379184544,2012-12-01
2013,1,1103.1182,13233.0,9852.2,1.695902138017118,2013-01-01
2013,2,2351.7585,13928.0,10691.233333333335,1.961640115827322,2013-02-01
2013,3,2474.4052,21337.0,22101.500000000004,3.160569598898292,2013-03-01
2013,4,5243.8069,24208.0,25695.100000000006,2.9794627549126744,2013-04-01
2013,5,2616.7673,24627.0,24442.566666666666,3.8586442833766346,2013-05-01
2013,6,0.0,21166.0,205766.18333333344,2.2010702202096586,2013-06-01
2013,7,2532.3422,16214.0,11047.933333333332,1.6999920681118965,2013-07-01
2013,8,913.6856,19256.0,37123.16666666669,2.13784006703645,2013-08-01
2013,9,0.0,21578.0,18040.850000000002,1.9889001548290253,2013-09-01
2013,10,3824.2538999999997,34885.0,113158.69999999997,9.566851960495118,2013-10-01
2013,11,0.0,20132.0,22893.56,7.24893934249878,2013-11-01
2013,12,5565.414,21522.0,14083.25,5.75965163230896,2013-12-01
2014,1,917.494,19840.0,8930.5,2.81543194770813,2014-01-01
2014,2,0.0,19111.0,12298.08,5.66517315864563,2014-02-01
2014,3,2056.31,20959.0,18553.4,11.965769395828247,2014-03-01
2014,4,0.0,31354.0,38403.83,14.200424947738648,2014-04-01
2014,5,2467.564,44870.0,41817.21,13.514135303497314,2014-05-01
