Year,Country,Top Operator,Revenue
2012,India,Vodafone Essar Ltd Mumbai,1876.0500000000002
2012,Netherlands,Vodafone Netherlands,1787.05
2012,Switzerland,"Swisscom,Switzerland",1074.25
2012,France,Orange France,958.5
2012,China,China Unicom,798.45
2012,Japan,"NTT DOCOMO, Inc. Japan",658.45
2012,Singapore,"SingTel, Singapore(GSM900/3G)",658.4
2012,Australia,Telstra Corporation Limited,595.0
2012,Austria,A1 Telekom Austria AG,407.7
2012,Germany,T-Mobile Deutschland GmbH,356.8
2012,United States,"Cingular Wireless,USACG",310.0115
2012,United Kingdom,Vodafone- UK GBRVF,287.75
2012,Belgium,Belgacom Mobile Belgium,227.35
2012,Italy,TIM Italia S.p.A Italy,224.5
2012,Hong Kong,Hong Kong CSL Ltd.,219.20000000000002
2012,Taiwan,Chunghwa Telecom-Taiwan TWNLD,208.7
2012,Finland,TELIASONERA FINLAND OYJ,170.0
2012,Bangladesh,Grameen phone Bangladesh,154.85
2012,Sweden,TeliaSonera Mobile Networks AB,151.35
2012,Canada,Bell Mobility,114.9
2012,Philippines,Smart Communication-Philippines,108.6
2012,Vietnam,VIETTEL MOBILE VNMVT,96.4
2012,Thailand,Total Access Communications Co THAWP,78.8
2012,Portugal,Vodafone Portugal,75.5
2012,Bulgaria,Mobiltel EAD- Bulgaria,63.0
2012,South Korea,SK Telecom-South Korea KORSK,55.5
2012,Malaysia,Maxis Malaysia,53.25
2012,Indonesia,"PT Telekomunikasi Selular, Indonesia",45.95
2012,Brazil,"VIVO SA Brazil, BRAV1",40.25
2012,Poland,Polkomtel S.A-Poland,35.0
2012,Denmark,TDC-Denmark,25.5
2012,Norway,Network Norway AS,23.45
2012,Sri Lanka,Dialog Telekom Sri Lanka LKADG,21.85
2012,Estonia,Tele2 Sverige AB,20.25
2012,New Zealand,Vodafone Mobile NZ Limited,6.25
2012,Spain,"Vodafone Espana, Spain",4.0
2012,Nepal,NTC Nepal Telecom,3.5
2012,Maldives,Dhivehi Raajjeyge Gulhun Private Limited,3.0
2012,Lithuania,Omnitel,0.5
2012,Afghanistan,Roshan Afghanistan(AFGTD),0.0
2012,Egypt,Etisalat Misr-Egypt,0.0
2012,Israel,Cellcom Israel Ltd.,0.0
